-171.054 8.5
-127.38	21.45
-90.848	13.7
-75.306	13.1
-74.737	7.75
-65.489	-15
-62.595	23
-59.496	2.6
-54.8	-32.2
-54.201	-35.75
-51.944	-13.7
-47.402	-63.75
-46.531	-9.2
-43.516	-15.7
-43.189	-43.25
-41.956	40.7
-40.164	-8.95
-38.97	-61.9
-38.852	-63.7
-37.842	-55.4
-36.541	-68.4
-35.283	-49.9
-33.552	-62.65
-32.88	-84.2
-32.709	-53.25
-32.608	-84.6
-31.763	-39.2
-31.746	-46.75
-31.191	-41.1
-31.191	-44.3
-30.934	-43.35
-30.817	-53.8
-30.595	-71.6
-29.122	-62.75
-29.047	-88.65
-28.458	-87.5
-28.29	-69.35
-27.274	-46.8
-27.058	-45.7
-26.932	-55.75
-26.685	-43
-24.94	-41.95
-23.006	-119
-22.798	-61.65
-22.595	-45.4
-21.925	-49.6
-21.612	-31.4
-21.433	-74.4
-21.151	-56.2
-21.125	-38.25
-21.075	-62.45
-21.075	-55.5
-20.014	-92.65
-19.215	-98.85
-19.03	-29.85
-18.782	-38.3
-15.418	-4.6
-14.997	-21.9
-14.991	-19.25
-14.506	-15.1
-14.502	-15.2
-14.495	-5.35
-14.177	-10.3
-13.519	-6.92
-12.372	-96.8
-11.116	-73.05
-9.988	-20.85
-9.895	-83.55
-8.419	-94.65
-7.37	3.65
-6.589	-20
-4.462	0.85
-1.540	-7.85
-0.385	17.4
-0.029	18.25
0.091	18.25
0.659	71.5
2.143	58.85
2.536	12.8
5.885	-7.25
9.62	13.15
10.323	4.05
10.629	-8.2
11.904	41.5
13.657	57.3
15.665	-5.55
18.461	50.2
19.487	24.45
19.613	54.95
