19.35 86.8 3.82
19.75 87.7 3.83
20.14 88.7 3.85
20.54 89.6 3.87
20.93 90.4 3.89
21.32 91.3 3.91
21.71 92.1 3.93
22.10 92.8 3.95
22.48 93.6 3.96
22.86 94.3 3.98
23.24 95.0 4.00
23.61 95.6 4.02
23.99 96.2 4.04
24.36 96.8 4.05
24.72 97.4 4.07
25.09 97.9 4.09
25.45 98.4 4.11
25.81 98.8 4.13
26.17 99.2 4.15
26.53 99.5 4.17
26.88 99.9 4.19
27.24 100.1 4.21
27.59 100.4 4.23
27.94 100.5 4.25
28.30 100.6 4.27
28.65 100.7 4.30
29.00 100.7 4.32
29.35 100.7 4.35
29.70 100.6 4.37
30.04 100.5 4.40
30.36 100.4 4.42
30.68 100.2 4.44
30.98 100.1 4.47
31.28 99.9 4.49
31.54 99.8 4.51
31.80 99.6 4.53
32.02 99.5 4.54
32.22 99.3 4.56
32.39 99.3 4.57
32.52 99.2 4.58
32.63 99.1 4.59
32.70 99.1 4.59
32.74 99.0 4.60
32.75 98.9 4.60
32.72 98.8 4.60
32.67 98.6 4.60
32.59 98.4 4.60
32.48 98.2 4.60
32.35 97.9 4.60
32.19 97.5 4.60
32.01 97.0 4.60
31.80 96.5 4.60
31.57 95.8 4.60
31.32 95.1 4.60
31.05 94.2 4.60
30.76 93.2 4.61
30.43 92.1 4.61
30.08 90.9 4.62
29.70 89.6 4.62
29.28 88.2 4.63
28.84 86.6 4.64
28.36 84.9 4.65
27.84 83.1 4.66
27.27 81.2 4.67
26.67 79.1 4.68
26.02 76.9 4.69
25.33 74.6 4.70
24.58 72.0 4.72
23.77 69.4 4.73
22.92 66.6 4.74
22.00 63.6 4.76
21.03 60.4 4.78
19.99 57.2 4.79
18.89 53.7 4.81
17.72 50.0 4.83
16.49 46.2 4.85
15.19 42.2 4.87
13.80 38.1 4.89
12.35 33.8 4.92
10.81 29.3 4.94
9.21 24.7 4.96
7.54 20.0 4.99
5.77 15.1 5.02
3.94 10.2 5.05
2.04 5.2 5.08
0.07 0.2 5.11
-1.96 -4.9 5.14
-4.05 -9.9 5.17
-6.19 -14.8 5.21
-8.36 -19.7 5.24
-10.57 -24.3 5.28
-12.80 -28.9 5.32
-15.04 -33.2 5.36
-17.25 -37.2 5.40
-19.47 -41.0 5.44
-21.66 -44.4 5.48
-23.80 -47.5 5.52
-25.90 -50.3 5.57
-27.93 -52.7 5.61
-29.90 -54.8 5.66
-31.80 -56.6 5.71
-33.61 -58.0 5.76
-35.35 -59.0 5.81
-37.02 -59.8 5.86
-38.57 -60.3 5.91
-40.06 -60.5 5.96
-41.45 -60.4 6.01
-42.76 -60.1 6.07
-43.97 -59.7 6.12
-45.10 -59.0 6.18
-46.14 -58.1 6.24
-47.07 -57.2 6.29
-47.93 -56.1 6.35
-48.71 -54.9 6.40
-49.39 -53.7 6.46
-49.98 -52.4 6.51
-50.49 -51.2 6.56
-50.93 -49.9 6.61
-51.28 -48.6 6.66
-51.56 -47.4 6.70
-51.77 -46.1 6.75
-51.91 -45.0 6.79
-51.98 -43.9 6.83
-52.00 -42.8 6.86
-51.98 -41.7 6.90
-51.91 -40.7 6.93
-51.81 -39.7 6.96
-51.67 -38.7 6.99
-51.50 -37.8 7.02
-51.31 -36.8 7.05
-51.10 -35.9 7.08
-50.86 -34.9 7.11
-50.61 -34.0 7.14
-50.34 -33.0 7.17
-50.07 -32.0 7.20
-49.77 -31.1 7.23
-49.47 -30.1 7.27
-49.16 -29.0 7.30
-48.84 -28.0 7.34
-48.50 -27.0 7.37
-48.15 -26.0 7.41
-47.79 -24.9 7.44
-47.42 -23.9 7.48
-47.04 -22.9 7.52
-46.65 -21.9 7.55
-46.25 -20.9 7.59
-45.84 -19.9 7.63
-45.41 -19.0 7.66
-44.98 -18.0 7.70
-44.54 -17.1 7.74
-44.08 -16.2 7.77
-43.62 -15.3 7.81
-43.15 -14.4 7.85
-42.68 -13.5 7.89
-42.20 -12.7 7.92
-41.70 -11.8 7.96
-41.20 -11.0 8.00
-40.69 -10.2 8.04
-40.18 -9.4 8.07
-39.67 -8.6 8.11
-39.14 -7.9 8.15
-38.61 -7.1 8.19
-38.07 -6.4 8.23
-37.53 -5.7 8.27
-36.99 -5.0 8.31
-36.44 -4.3 8.35
-35.88 -3.6 8.39
-35.32 -3.0 8.43
-34.75 -2.4 8.47
-34.18 -1.8 8.51
-33.61 -1.2 8.55
-33.03 -0.6 8.59
-32.45 0.0 8.63
-31.86 0.5 8.67
-31.27 1.0 8.71
-30.67 1.5 8.75
-30.07 2.0 8.79
-29.47 2.4 8.84
-28.85 2.8 8.88
-28.24 3.2 8.92
-27.62 3.6 8.96
-27.01 4.0 9.00
-26.38 4.3 9.05
-25.76 4.6 9.09
-25.12 4.9 9.13
-24.49 5.2 9.18
-23.85 5.5 9.22
-23.21 5.7 9.26
-22.57 5.9 9.31
-21.92 6.1 9.35
-21.27 6.3 9.40
-20.61 6.4 9.44
-19.95 6.5 9.49
-19.29 6.6 9.53
-18.63 6.7 9.58
-17.96 6.7 9.62
-17.29 6.8 9.67
-16.62 6.8 9.72
-15.94 6.7 9.76
-15.26 6.7 9.81
-14.58 6.6 9.85
-13.89 6.5 9.90
-13.20 6.4 9.95
-12.51 6.3 10.00
-11.82 6.1 10.04
-11.12 5.9 10.09
-10.42 5.7 10.14
-9.72 5.5 10.19
-9.01 5.2 10.24
-8.30 4.9 10.28
-7.59 4.6 10.33
-6.87 4.3 10.38
-6.15 3.9 10.43
-5.43 3.5 10.48
-4.71 3.1 10.53
-3.98 2.7 10.58
-3.25 2.3 10.63
-2.51 1.8 10.68
-1.78 1.3 10.73
-1.04 0.8 10.78
-0.29 0.2 10.84
0.45 -0.3 10.89
1.20 -0.9 10.94
1.95 -1.6 10.99
2.71 -2.2 11.04
3.47 -2.9 11.10
4.23 -3.5 11.15
4.99 -4.2 11.20
5.76 -5.0 11.25
6.53 -5.7 11.31
7.31 -6.5 11.36
8.09 -7.3 11.42
8.87 -8.1 11.47
9.66 -9.0 11.52
10.44 -9.8 11.58
11.24 -10.7 11.63
12.03 -11.6 11.69
12.83 -12.5 11.75
13.64 -13.5 11.80
14.44 -14.4 11.86
15.25 -15.4 11.91
16.07 -16.4 11.97
16.89 -17.4 12.03
17.71 -18.5 12.09
18.53 -19.6 12.14
19.36 -20.6 12.20
20.20 -21.7 12.26
21.04 -22.9 12.32
21.88 -24.0 12.38
22.73 -25.2 12.44
23.58 -26.3 12.50
24.43 -27.5 12.56
25.30 -28.7 12.62
26.16 -29.9 12.68
27.03 -31.2 12.73
27.90 -32.4 12.79
