-19.83 -65.79 4.47
-19.59 -64.51 4.49
-19.33 -63.23 4.50
-19.08 -61.95 4.52
-18.82 -60.67 4.54
-18.56 -59.39 4.55
-18.29 -58.12 4.57
-18.03 -56.85 4.59
-17.75 -55.58 4.61
-17.48 -54.31 4.62
-17.20 -53.05 4.64
-16.92 -51.80 4.66
-16.63 -50.55 4.67
-16.35 -49.30 4.69
-16.05 -48.06 4.71
-15.76 -46.82 4.73
-15.46 -45.59 4.74
-15.16 -44.36 4.76
-14.86 -43.14 4.78
-14.56 -41.92 4.80
-14.25 -40.72 4.82
-13.94 -39.52 4.83
-13.62 -38.32 4.85
-13.31 -37.14 4.87
-12.99 -35.96 4.89
-12.77 -35.2 4.90
-12.44 -34.0 4.92
-12.11 -32.8 4.94
-11.77 -31.6 4.95
-11.43 -30.5 4.97
-11.09 -29.3 4.99
-10.75 -28.2 5.01
-10.41 -27.1 5.03
-10.06 -25.9 5.05
-9.70 -24.8 5.06
-9.35 -23.7 5.08
-9.00 -22.6 5.10
-8.64 -21.5 5.12
-8.28 -20.5 5.14
-7.92 -19.4 5.16
-7.55 -18.4 5.18
-7.19 -17.3 5.19
-6.82 -16.3 5.21
-6.45 -15.3 5.23
-6.08 -14.3 5.25
-5.70 -13.3 5.27
-5.33 -12.3 5.29
-4.94 -11.3 5.31
-4.57 -10.3 5.33
-4.18 -9.4 5.35
-3.80 -8.4 5.37
-3.41 -7.5 5.39
-3.02 -6.6 5.41
-2.63 -5.7 5.43
-2.24 -4.8 5.45
-1.84 -3.9 5.47
-1.45 -3.0 5.49
-1.05 -2.2 5.51
-0.65 -1.3 5.53
-0.25 -0.5 5.55
0.15 0.3 5.57
0.56 1.1 5.59
0.96 1.9 5.61
1.37 2.7 5.63
1.78 3.4 5.65
2.19 4.2 5.67
2.61 4.9 5.69
3.02 5.7 5.71
3.44 6.4 5.73
3.86 7.1 5.75
4.28 7.7 5.77
4.70 8.4 5.79
5.13 9.1 5.81
5.55 9.7 5.84
5.98 10.3 5.86
6.41 11.0 5.88
6.84 11.6 5.90
7.27 12.1 5.92
7.70 12.7 5.94
8.14 13.3 5.96
8.57 13.8 5.99
9.01 14.3 6.01
9.45 14.9 6.03
9.89 15.4 6.05
10.33 15.8 6.07
10.78 16.3 6.10
11.23 16.8 6.12
11.67 17.2 6.14
12.12 17.6 6.16
12.57 18.1 6.19
13.03 18.5 6.21
13.48 18.9 6.23
13.94 19.2 6.25
14.39 19.6 6.28
14.85 19.9 6.30
15.31 20.2 6.32
15.77 20.6 6.35
16.24 20.9 6.37
16.70 21.1 6.39
17.17 21.4 6.42
17.63 21.7 6.44
18.10 21.9 6.46
18.57 22.1 6.49
19.05 22.3 6.51
19.52 22.5 6.53
19.99 22.7 6.56
20.47 22.9 6.58
20.95 23.1 6.61
21.43 23.2 6.63
21.91 23.3 6.65
22.39 23.4 6.68
22.88 23.5 6.70
23.37 23.6 6.73
23.86 23.7 6.75
24.35 23.7 6.78
24.84 23.8 6.80
25.33 23.8 6.82
25.83 23.8 6.85
26.32 23.8 6.87
26.82 23.8 6.90
27.32 23.8 6.93
27.83 23.7 6.95
28.33 23.7 6.98
28.84 23.6 7.00
29.34 23.5 7.03
29.85 23.5 7.05
30.36 23.3 7.08
30.88 23.2 7.10
31.39 23.1 7.13
31.91 22.9 7.16
32.43 22.8 7.18
32.95 22.6 7.21
33.47 22.4 7.24
33.99 22.2 7.26
34.52 22.0 7.29
35.05 21.8 7.31
35.58 21.5 7.34
36.12 21.3 7.37
36.65 21.0 7.39
37.19 20.8 7.42
37.73 20.5 7.45
38.27 20.2 7.48
38.82 19.9 7.50
39.36 19.5 7.53
39.92 19.2 7.56
40.47 18.9 7.59
41.02 18.5 7.61
41.58 18.1 7.64
42.14 17.7 7.67
