71.30	13.1	8.10
71.77	12.6	8.12
72.23	12.2	8.14
72.69	11.7	8.16
73.18	11.2	8.18
73.67	10.8	8.20
74.18	10.3	8.22
74.70	9.8	8.24
75.23	9.3	8.25
75.77	8.8	8.27
76.34	8.4	8.29
76.93	7.9	8.31
77.52	7.4	8.33
78.16	6.9	8.35
78.79	6.4	8.37
79.47	5.9	8.39
80.17	5.4	8.41
80.93	4.9	8.43
81.69	4.5	8.45
82.52	4.0	8.47
83.40	3.5	8.49
84.33	3.0	8.51
85.36	2.4	8.53
86.43	2.0	8.55
87.62	1.5	8.57
88.88	1.0	8.59
90.30	0.5	8.61
91.88	0.0	8.63
93.70	-0.5	8.65
95.71	-1.0	8.67
98.02	-1.5	8.69
100.76	-2.0	8.71
103.95	-2.4	8.73
107.85	-2.9	8.76
112.59	-3.2	8.78
118.39	-3.5	8.80
125.78	-3.6	8.82
135.00	-3.5	8.84
146.35	-3.0	8.86
159.46	-2.1	8.88
-186.68	-0.7	8.90
-173.38	0.8	8.92
-161.72	2.3	8.94
-152.21	3.7	8.96
-144.63	4.8	8.99
-138.55	5.8	9.01
-133.69	6.7	9.03
-129.69	7.5	9.05
-126.39	8.3	9.07
-123.63	8.9	9.09
-121.24	9.6	9.11
-119.14	10.2	9.13
